,total_mv,net_profit_to_total_mktcap_ttm,book_value_to_total_mktcap_mrq,net_cash_flow_to_total_mktcap_ttm,net_profit_to_book_value_ttm,total_vol_21,max_plus_21,momentum_21,turnover_252,abnormal_turnover_21,asset_growth_mrq,accrual_to_asset_ttm,net_operating_asset_to_asset_mrq,illiq_252,gross_profit_to_asset_q_trend,net_cash_flow_to_revenue_ttm,ebit_to_tangible_capital_ttm,return_on_invested_capital_ttm,return_on_net_operating_asset_ttm,gross_profit_to_asset_ttm,deflated_gross_profit_to_asset_ttm,operating_profit_to_book_value_ttm,cash_based_operating_profit_to_asset_ttm,abnormal_capital_investment_ttm,sell_exp_to_revenue_ttm,gross_profit_margin_ttm,net_profit_margin_ttm,asset_turnover_ttm,net_profit_to_asset_yoy_chg,non_operating_profit_to_total_profit_ttm,net_profit_yoy_pct_chg_acc,net_profit_to_asset_yoy_chg_acc,idios_vol_ff3_21,total_skewness_252,co_skewness_252,idios_skewness_ff3_252,tpi_21,revenue_to_total_mktcap_ttm,noa_to_noacap_mrq,book_value_plus_rdexp_sga_to_total_mktcap_ttm,liquidity_shock_21_252,book_value_yoy_pct_chg,revenue_yoy_pct_chg,capital_exp_to_asset_ttm,sell_exp_to_asset_ttm,price_delay_one_252,zero_return_ratio_252,amount_21,momentum_academic_252_21,idios_momentum_ff3_252_21,idios_momentum_capm_252_21,capital_gain_overhang_252,composite_equity_issuance_252,earnings_announcement_return1,jump1,inventories_to_revenue_ttm,total_accrual_to_net_profit_ttm,accrual_to_net_profit_ttm,inv_yoy_chg_on_asset,capital_exp_yoy_pct_chg,sellexp_to_total_mktcap_ttm,[close],fix_asset_to_asset_mrq,accrual_to_asset_sloan_ttm,asset_turnover_yoy_chg,ebitda_to_enterprise_value_mra,inventories_yoy_pct_chg,market_beta_252,market_downside_beta_252,price_to_high_252,earnings_announcement_return2,earnings_announcement_return3,intraday_momentum_21,market_correlation_252,operating_income_to_revenue_ttm,operating_income_to_revenue_yoy_chg,price_delay_three_252,price_delay_two_252,tax_yoy_chg_to_asset,book_value_plus_rdexp_to_total_mktcap_ttm,contributed_capital_to_total_mktcap_mrq,expected_shortfall_252,firm_age,long_term_reversal_756,momentum_acceleration_252_21,net_cash_flow_to_asset_yoy_chg,net_operating_asset_to_asset_yoy_chg,retained_earnings_to_total_mktcap_mrq,revenue_to_net_operating_asset_ttm,revenue_to_net_operating_asset_yoy_chg,similar_stock_momentum_21,systematic_volatility_risk_252,tail_beta_252,tail_risk_756,total_asset_to_total_mktcap_mrq,total_liab_to_total_mktcap_mrq,two_year_capital_exp_yoy_pct_chg,value_at_risk_252,altman_zscore,ohlson_score,aqr_profitability,aqr_growth,aqr_quality,aqr_safety,beneish_score,gmo_score,buffett_zscore,change_in_net_working_capital,change_in_net_non_current_operating_assets,change_in_non_current_operating_assets,change_in_net_financial_assets,change_in_net_operating_assets,total_accruals,operating_leverage,changes_in_long_term_net_operating_assets,alpha_momentum_ff3_252,information_discreteness,payout
2004-12-31,-0.028729337794140553,0.08262745373780378,0.026668777393531018,0.06874480891015355,0.07338099003569831,0.10032839425841344,0.0885360093349511,-0.003096328641364221,0.003152198676893092,0.07677475819273016,0.038392817276726166,0.009774981130039495,-0.0021211914585747005,-0.026646495184167618,-0.038629639534345284,-0.01924165021011237,-0.06850625961150103,-0.02214691779729272,0.020618973875031865,0.03272025425862268,0.07593240485442354,0.0738818327428219,-0.01732872500218785,0.005604966899471098,-0.023958100994879827,0.01805763022716045,0.043865054349782606,0.04687892707305463,0.02003328350525091,0.049579195042054436,0.03433070879273359,0.03895080258604644,0.07553400317587144,-0.03363940085578354,0.018706485467942957,0.016470240263062097,-0.06700373575512086,0.03373170710966722,0.022504351683163226,0.0031411129122093095,-0.0018055975353163944,-0.018933085805697525,0.07457412845127354,0.014992881253174106,0.005386794176554521,0.006318300714176606,0.0505618545346016,-0.02255436827075774,0.03419742336625142,-0.017763188518991058,0.03365179316953337,-0.043967194736684645,0.015329475004749904,-0.008378054515035926,0.014224187962181611,-0.03369287064775495,0.0435430741594619,0.04573136160001645,0.038045262826606474,-0.020835174867396056,-0.00923693458333219,0.007923942833332864,-0.03488418329506937,0.009633970848173856,0.03947117883213469,0.035282900914812454,0.030604364838162423,0.04658745319471602,0.0723355044152576,0.07299067448847463,0.00246881329296067,0.05605635375767126,0.016804032611831277,-0.029896558266443107,0.04446143296542371,0.04767589453514964,-0.012434326628487424,-0.011122072058374788,0.06729333470390642,-0.004562613337901422,-0.02878688500107196,0.08170253426803298,0.027446221275402083,-0.06050300886840876,-0.04338362501717896,-0.0032473320422147234,0.023735319405918442,0.05169069966969153,0.01642916029643715,0.009407251475617828,0.04961217499068549,0.01021634709864827,0.04025623818956814,0.038549381090413504,0.011397516383766071,0.026943972790504978,-0.07335757855618419,0.09343677266875161,0.008014719329557107,0.03736043514331977,0.07875457674528707,0.033194836991306764,0.052932628057914655,0.0232576411113522,0.0151174747003342,0.055797747093616845,0.04304913975864477,-0.0057190960987312245,-0.003658607334402597,-0.014215243616697903,-0.007068132755450374,-0.0076054820647577515,-0.01819018829303143,-0.04009866547952223,-0.023108248200865544,0.04516799898274715,0.011973002939949517,0.034332866083329194
2005-01-31,0.007195216650438874,0.007130733890947649,-0.01426834417056655,-0.01993941274933786,-0.0038586686387220848,0.018491467862133737,0.03330643782422038,-0.010871674181125668,-0.016737956127622966,-0.03759619180697327,0.04880360598196298,-0.024831629940644806,0.01966002805671907,-0.01727805982767494,-0.0011207416558470795,0.009346579308393665,-0.04297669373252622,-0.0012195893204763886,-0.0018666928525872262,-0.02359369904016062,0.005434109112256835,0.012690769536914392,-0.010565502265186266,0.04539254536101356,0.02329147112755614,0.03325719497145985,-0.0031518473764258204,-0.014302741746438752,-0.012044664983136832,0.006410637309524736,0.018648863710433727,0.042489628414998926,0.04311354918006727,0.014174976143982665,-0.020492604485506605,0.03448066507270908,-0.09745548225400213,0.017021495862130864,0.024794645475019306,0.004934076806216714,-0.023437536522637137,0.002930788089537506,0.02869500223239263,0.04954804735747376,0.030047401034845933,0.031627013472351306,0.0034081873500367843,-0.04208669942887677,0.0008762735323484261,-0.0007844305935534868,-0.01670941053182251,-0.026649124448427042,-0.014130262092886037,0.005195286222532736,0.00854234195373238,0.016988161257996293,0.034332209907691036,0.006313730029007925,0.06743059708565535,-0.022291299657025476,0.02692170844206654,0.015696358509522557,0.026919961682365656,0.002301029980868896,-0.023414133777352797,-0.03456175261719541,0.03935620914896465,0.02203113424356562,0.04661103348316409,0.02630113899740405,-0.004646551106409769,0.05434128843364194,-0.0355582791463912,0.00099730418783317,0.0074031941026904136,0.01687638052556495,-0.045239852587958373,-0.04042788438814826,0.04180602717601001,-0.018419989129787262,-0.034558649124796004,0.03206125966102735,-0.006177041824770635,-0.019115580514470043,-0.039835518254820235,0.020655274676722568,0.011194268773980443,0.03194066242280402,0.00020516816346316524,0.013162523744640997,-0.007204935733918227,0.02909720582037001,0.03522046620377084,0.03295786945074952,0.009039012979673466,-0.01570015419411963,-0.022925910264857574,0.04891106008079915,0.03533877780619665,0.04265928181737155,0.02182370747585405,0.0190349325693,0.017254635828384712,0.03980345616135095,0.005287895596976955,0.0269118602702193,0.038348680789402234,-0.015126833050544408,0.017168062067410506,-0.014176952541949173,0.0030566796897069093,0.008812503576034247,-0.02150094017375881,-0.0028556072134253707,0.014478256841647164,0.0162267108362788,0.02123425323277406,-0.0007922023453115212
2005-02-28,0.03012986817389751,0.010482631650854835,0.022041956679063723,-0.00286256159438647,-0.026398403664900094,-0.08829774559540149,-0.04581129935327266,0.07509424322416813,-0.0228701119518957,-0.010302658808621468,0.004494161333809865,-0.012196257414852862,0.02490106095435629,-0.0027253868942167525,0.03627623755724385,0.044619995870325724,0.009426102763300692,0.006079683025651983,-0.006357598576950396,0.0048756664183498,-0.001660293688900305,0.004316592087634685,0.027710115343053454,3.366004503657649e-05,0.005043789606797189,-0.06200026734570452,-0.028349551838968923,0.045998309504710955,-0.010704384252518295,0.02042143893016335,-0.01218468627640834,-0.0035752745773489636,-0.10973980638212244,0.019777963397155984,-0.0037513747543216347,0.016179542003335712,0.019969891618867752,0.06757591268027263,0.037527738962419344,0.03605856330834922,0.041008020727332006,0.024608199922224294,0.012890786423746858,0.009046880318853034,0.010238013722907002,0.025308769656190222,-0.009727897087846271,-0.00016964437589894743,-0.02479343698082137,0.055694145964381825,0.0375911837183025,0.07847834332676507,-0.016628831516557252,0.00782672435309828,-0.035690880851265705,0.016137885676427377,-0.013429205316653592,-0.026355390232610354,-0.01420184876049424,-0.006140662880479653,-0.011128213872893422,-0.0011661995166256656,-0.005980341939899381,-0.02004443495793229,0.014789814940096457,0.023541069556361816,0.011840509649734265,-0.09152941499956979,-0.061301571421044976,-0.07612651127513237,0.004045102172518744,0.003952663873563411,0.04790337296830627,-0.009652221013403128,-0.022211840255103255,0.0017094693314565479,0.020931286544423777,0.023166849722995986,-0.0013958014529404927,0.020315694516037652,0.03401823761232303,-0.05476741286232589,-0.013208428779522663,0.007355022062941696,-0.006120890590388894,-0.008081403384029517,-0.014590517488010768,0.02347671526110795,0.04056682742780171,0.007408479148153235,0.029982424935484087,-0.01628562956934121,-0.03242749184275273,0.019626910321476787,0.0072721709896288456,-0.010108735402071245,0.023152748197150075,-0.08158498615189802,0.02017712467720001,-0.03266834222798187,-0.006985498682666069,-0.007665099331228609,-0.03817531084059533,-0.012445313770553579,0.007521101413261011,-0.030144564038596222,-0.019570315898033153,0.004620146334834319,0.014048129916962138,0.01584406627703805,0.019758044545087117,0.0026766063215819536,0.012054098539322489,0.022421709061352546,0.024240721841628066,-0.012045463117588806,-0.006245754092725431,-0.000786021283769367
2005-03-31,-0.05485252629143722,0.07433474113846394,-0.08817829560755819,0.01022588969873528,0.07077916746849489,0.09370081918464779,0.04455830992046306,-0.07411086886212381,0.03931973415541534,0.02819963559048133,0.07746177903161844,-0.04015562751670676,-0.0061004368191623914,-0.022282539302757365,-0.00958814615326331,-0.05020974545195955,-0.06664303253925408,-0.02080771056651254,0.015599093506427297,0.03064963784968877,0.10152677857767745,0.08888204483027673,-0.0489363853933934,0.02169825557592031,-0.016659523039846413,0.06873905165251293,0.090592239605358,-0.028620895725022355,-0.03254586164643081,0.04897001181580862,0.028676327182629358,0.0394506006258476,0.07329358833305588,-0.022288312250087094,0.0004581932062102112,0.023098725861384728,0.0286597997000404,-0.04157285128177002,-0.013140068239980707,-0.10697360936894829,-0.03020218677229769,-0.05269766987259383,0.05931492949769068,-0.003653195174482482,-0.028631924381825047,0.009458989237222326,0.07871878951539013,-0.016240542100101618,0.1198942005927528,-0.007829522358384411,-0.02238293712806183,-0.06595827052773207,0.02168771160119287,0.021670376477183617,0.04237350111173188,-0.07500443165563098,0.029303863188715473,0.007852530240601063,0.04766707786560853,-0.019649133222144344,-0.02517950091728527,-0.09346815607656278,-0.030565447560669368,-0.01742031319609405,-0.0038685437224721397,0.012433993477379834,0.008545747345608201,0.138415021691646,0.09697265111651343,0.12173170085878848,0.021540654276900773,0.04485138833514912,-0.06812232792577522,0.07782992590698301,0.09239399273995896,0.029678203534620473,0.015404282637018873,-0.006693297265160658,0.08447214209387255,-0.08971163029584828,-0.10712792634333212,0.09819982261963545,0.01612261735227183,-0.08079197210109645,0.06621916623334978,-0.0026373970518598355,-0.017028164752628805,0.025449541468199888,-0.03454167040591516,0.023407538714051213,-0.0994240312888015,0.04325657431449004,0.048659402770107496,-0.06585005637300423,-0.07050594471150506,-0.04850937091012464,-0.06501708872593448,0.11496202476855188,0.07394691788630137,0.079155658245741,0.08161276131357065,0.05303473371933709,0.0717934124762647,0.06652365823692719,0.008539105674648328,0.11161062434871327,0.06864515046865172,-0.026532611296965047,-0.05473989502902776,-0.0638370715346398,-0.018816234044938707,-0.04630226251411684,-0.054833650537204015,-0.005121854265775938,-0.00514276690928428,0.05905268045731504,-0.0373031525540225,-0.01017825945711992
2005-04-30,-0.11904554115998545,0.08411473076671994,-0.06958897489707061,0.050069802634667315,0.0869938489464065,0.02917553405753215,0.035861096399577574,-0.05404741125953527,0.03252328273128313,-0.041768341786150964,0.062201256864509946,0.012429954882419603,0.007215466808442983,-0.11909278673246815,-0.010206031469956356,-0.07492665350434657,-0.059783338049189005,0.04665023273358848,-0.041079383130166236,-0.006152354698892526,0.044669689425237635,0.07386454329183734,-0.08435053108385093,0.04437047215420209,0.04599953904144194,0.052581549854336274,0.10894016177284183,-0.007826218748299363,-0.00770473165127239,0.07737608318663047,0.05030261260011282,0.0960488735624021,0.06164458230561731,-0.026161339923929883,0.03326072912826783,-0.008301720530042078,-0.02877809613514737,-0.02704665412042495,-0.02142015465879843,-0.05736696415624121,-0.029740547555436647,-0.02619763715378276,0.02452023652867752,0.04039597759432789,0.034615712838405366,-0.010701870940104885,0.08899780880000585,-0.10939810779065062,0.11410743288647329,-0.02838542193302951,-0.020248202418417294,-0.05192192819437369,-0.007194002001611355,0.055123747898957465,0.10601862763940151,-0.07633914091662408,0.053615606344036726,0.0469950536282665,0.00934966161898898,-0.05910261636662717,0.018801976385056318,-0.09939575473696738,0.022768917399195066,0.002997333033843419,-0.012126221336793752,-0.01086517673712506,-0.0018401769704629034,0.12336343069709899,0.10626983374970334,0.09835679613802384,0.0863756907632921,0.009970407595994435,-0.1027391784628694,0.040967721904616394,0.08781797856438678,0.0013418554049468012,0.005492027065751026,0.02277415667002136,0.067628733654847,-0.05880478184200655,-0.09810032449521,0.1352804610816637,0.03248341388010323,-0.045640339356264326,0.033522975596121385,0.026713613052546048,0.04576046822831226,0.10857142612744897,-0.001052824906034644,0.01240138182270012,-0.12536067317054778,0.07561804216393664,0.034549895229426086,-0.054526342087722224,-0.05440255309248787,-0.0565130678839163,-0.03519556552949099,0.1961255742424296,0.015722277438409593,0.045330675607098136,0.1217611144195393,0.07073460721451419,0.0907016448610235,0.059550133501578784,0.03007256309258932,0.11486732952193746,0.09018940708498513,0.02278026778945552,-0.03667011518673058,-0.06740144052593944,-0.04826425193802952,0.0005430567423903021,0.0025471172693113386,0.02712141944179236,0.031010504630810343,0.07494835932044819,-0.010650979929592852,0.015995250874624833
2005-05-31,0.11770479924717736,-0.112331429401623,0.12856334152076998,-0.025908264079497645,-0.137180322777825,-0.0806763444639188,-0.02183837441755576,0.12577799362923703,0.04219720733634935,0.07138267687431454,-0.0869179337754955,0.08042379427800184,0.028402074359377916,0.09381636111573965,0.05131731614211443,0.05153249094310497,0.1095280045988245,0.09152465172699675,-0.09163120051105467,-0.09862667958266713,-0.11771927061512344,-0.12977047166419942,0.10744425699542048,-0.008713013630364808,0.028935053023655177,-0.06811247880480298,-0.12248384436745507,-0.056433892316471,-0.06685806596475496,-0.08679325324461307,-0.0394414088660906,0.045132211211417306,-0.03249726146743581,0.02044437110356201,-0.09842595164350176,-0.008244938255183243,0.12501216300718065,0.08721305952837455,0.14207263754225452,0.11608633579493666,0.12736431596915954,0.14069855855763902,-0.09417486908629202,0.04564906417131953,0.01986388363180336,-0.0391189423049535,-0.07406025613270462,0.10578511285367165,-0.13186019423419126,0.007107399874041853,0.10224684479638901,0.14139147408884478,-0.028880685184137667,-0.02209759336241246,-0.07068219643786033,0.04203083811699493,-0.03766840374701852,-0.002497195444026934,-0.05949364365241716,0.012620100219275399,0.05384495046566795,0.11956179840813919,0.052209616917890944,0.029259150198575612,-0.0509882446241372,-0.06187920592048024,-0.07024750395865698,-0.10332579842874745,-0.07443297821128758,-0.13946398237323188,-0.02392040849791166,-0.08468198550442652,0.11801827858660296,-0.06698908923851699,-0.09921350157335007,-0.017844686545200328,-0.016691096088898294,-0.03775065454263837,-0.08130817627006337,0.13264461664922456,0.13432368902662284,-0.0863073542006606,-0.0015952240861333289,0.10253932752348682,0.0018494872646208638,-0.005172598378395898,-0.01835985352365288,-0.043341978133140224,-0.029933511333477325,-0.04917684892945495,0.12162048749909993,-0.08795304363336964,-0.028577601017065968,0.04978680052888118,0.08256739323868101,0.07084229396452069,0.018880993602225615,-0.10569816968830847,-0.0732569527900282,-0.06416155359818332,-0.11316074086975403,-0.08839693453173525,-0.07056463731746776,-0.043265164763847785,0.031002192666223394,-0.08130243507615587,-0.006187643751790262,0.030322482680280594,0.06345374145315053,0.0622349814251818,0.017762238544740683,0.0632489023720838,0.07938054036863018,-0.01309060201374801,-0.041961446771861644,-0.12898347258669063,0.05736926927467756,0.02470101689166615
2005-06-30,-0.013975406569848081,0.05369571712601651,-0.03697830803319224,0.009776244670533618,0.05856360797434146,0.056556206992606106,0.013753077015965953,0.026395214415474655,-0.007468842246245111,-0.02199899698402441,0.013418923049803855,-0.017433448494181825,0.008602846751533555,-0.029082450557452955,-0.04150489015868497,-0.013253712412652385,-0.025719804667675983,0.02570383494124151,-0.026571316023161873,-0.02951629828564628,0.04338975099413489,0.07261753030246887,-0.019937676396055815,-0.004043185910982849,-0.019342425986539347,0.04052397629458093,0.06475780446461388,-0.025201035620969314,-0.05255566549927981,0.03103560176574638,0.023843375793731525,-0.01052673133747506,0.01595993930918116,-0.03359923889223948,0.022443856549980268,-0.002190946282219386,-0.05102091095058747,0.0022992990190116025,0.019453959844792146,-0.02751055661995072,-0.015281074067484246,-0.03063373345284659,-0.00663978579724267,0.05636846056233491,-0.01192738550510386,-0.02285501213144736,-0.017871854491835037,-0.04050218222661839,0.07300633558504288,-0.02364063053947918,0.02247398975460957,-0.09389136938197817,0.004451176386543576,0.028359767037839045,0.03794692643836439,-0.02700873918986324,-0.006342471080841294,-0.007551363781802989,0.010627940798871083,-0.04173873428179753,-0.021698071860166035,-0.04476935431680917,0.009898921211638934,0.05477833309554314,-0.016235929028435736,0.005779414173023412,0.01835979160732193,0.020712201864734325,0.042299743728933636,0.08364215353625692,0.04026799529726077,0.0045952623663738645,0.04433810744370048,0.0049403930047320355,0.06497215243784216,-0.030875917674461295,-0.028137577914547407,-0.013912902882690648,0.0115426790003188,-0.03205198970162737,-0.055656465196370686,0.05178017267632373,0.018321817047813216,-0.031136336289633415,-0.04403108589462834,-0.00439588550960246,-0.02936997941099584,0.03131684851856509,-0.024774473511278927,-0.02760156799397162,0.04060297843309879,0.03983262074106031,0.009589411479383969,-0.01842726801418515,-0.03648780974162891,-0.01409526288427243,-0.031469306474127934,0.055587721772819676,-0.02310583617149331,0.050074518229832776,0.041616417563775876,0.04673589804611833,0.019372110163839773,-0.008080228065588946,-0.02707041054541559,0.07368540584016947,0.012855837732763442,0.026223588651258956,-0.005549658072156571,-0.04643524725484405,-0.0030066446883245668,-0.03338451920492225,0.02321757034308325,0.011473116095406244,-0.023816654942789728,0.04077488935902163,0.01721057956889216,-0.015189123189471188
2005-07-31,-0.0935277435037053,0.15022245213657714,-0.06834960007595814,0.1351842840172529,0.13347742946106356,0.0026061776655028623,-0.041009652202792624,-0.06413431181145146,-0.04674281211970488,-0.11760269027500869,0.049688547506122394,-0.024397108548060653,-0.0025137102554080304,-0.10648954014772216,-0.039219162203078195,-0.04845385685334702,-0.061503534570835794,0.022584094453623194,-0.017633696583091996,0.03932375694393153,0.12574706774717248,0.14117015880487072,-0.042038067226505715,-0.02223727762676353,0.009173233235025724,0.050395358070248863,0.08782918213882784,0.0865204535949482,0.007364037766596554,0.16710744393121135,0.050478596443077284,-0.06334340041459374,-0.021495569470666775,-0.04873249351835618,0.14718106487618532,0.03648324059300567,-0.03355220851871976,-0.0026648961428705764,-0.03531992013501095,-0.04082549846884065,-0.09672801801761399,-0.038684056102547104,0.02435399833641616,0.051053143154306535,0.00864500367152643,-0.04611567620865664,0.019586773624389653,-0.07764627057802298,0.12292986067400014,-0.055547468895375984,-0.017170773151982233,-0.10126406955321599,-0.011442001930868528,0.05635166880844278,0.06764699939019336,-0.0289659031688716,0.028933221635836892,0.0458860612128581,0.058011028871205905,-0.055382019566708074,0.021087121553038046,-0.10515598531170456,-0.036070346422165445,0.061864668315313454,0.03285123952422386,0.051381115631961016,0.003715022814471558,0.05638307865627612,0.10716399464165038,0.11255551619872906,0.06783221555773955,0.04079124724775307,-0.049160583979461214,-0.0818926243978747,0.08980889321854202,0.013908290430980408,0.013661480622599753,0.026537273737966882,0.10616313852375647,-0.0993161773288278,-0.11720686183012374,0.16269492056224055,-0.002661185218801765,-0.1484045312358011,-0.03806871526920641,0.01555596464927722,0.021997759106380355,0.07813113189179333,-0.01980417756027031,0.012248391952054183,-0.03272503344055622,0.1643760487534235,0.13497376469060662,-0.04162072015527185,-0.062052155118591856,-0.04584619307126647,-0.029972140226008692,0.13697789835178842,-0.02621835235220904,0.08612476392971702,0.13582331216249632,0.07752567927932741,0.0946613146990899,0.12925717806210413,0.021307008116275505,0.09649253330998542,0.046926947117665097,0.008358225492527849,-0.01698345438026183,-0.04978710624040472,0.014960843178510874,0.0002527057996410953,0.014459049543957603,0.016401459691316567,-0.029318106355565088,0.0637365716986652,-0.024186521409566897,-0.004052547789539784
2005-08-31,0.15475655793716392,-0.08163902957611335,0.08216534667990483,-0.0764924044786035,-0.09625212263263183,-0.15020037702011324,-0.08639055273407936,0.19531402278428556,-0.0027235449569840142,0.0784549718857186,-0.08303797939287771,0.006263632864021984,0.00631462539382488,0.18814031876093984,0.08221578168358801,0.1222901267005867,0.09689622145627386,0.04368284578886161,-0.04152382603798754,-0.01930033532411435,-0.1005506921865873,-0.07925856767769779,0.0836606670279858,0.02865394789276965,-0.04096339711970587,-0.13045795455629183,-0.11997431198333919,-0.003487518829645264,-0.07999692482110698,-0.09804196235969176,-0.06483929162048896,0.04648304785103985,-0.08950053353842846,0.13878040632832378,-0.15709682320170715,-0.0615766280970822,0.03979855202727389,0.09064241733062572,0.10219068524652575,0.11557617731790892,0.09593745220093397,0.09814588527335322,-0.04032749285088166,-0.010814553848125907,-0.054753044272704665,-0.029471742786644217,-0.035515194737961275,0.20647330821667897,-0.17910527177951652,0.05067013482226912,0.044357869450504905,0.17493795702971848,-0.0018610810114161325,-0.085153202289866,-0.14457684984524088,0.04523421296410546,-0.0724094478209949,-0.056448951024526295,-0.07135175480381828,0.0015453769471949208,-0.05429363079810989,0.15197787283324704,0.004653096028501169,-0.03553889923063247,-0.00608357235352619,-0.002014547648099052,-0.01922826041846637,-0.15685842393565563,-0.15208995999804564,-0.19135918059738088,-0.07987807900755062,-0.06315564932765239,0.15619042474490175,-0.010535586856970536,-0.10167271715733217,-0.025060121607809238,0.006118262191985968,-0.015487854134242918,-0.03774927707654796,0.10486191760522834,0.13512568243863177,-0.22213942761024486,-0.04989206897929188,0.12172917982655163,0.06222286600587612,0.006229745639735995,0.012789878120497367,-0.13253924440889353,0.008039831738415826,0.00851875248755185,0.12739747780472177,-0.1399921234707513,-0.0935774700666776,0.09772318184581752,0.08321428494096983,0.06547540063045076,0.030862313372521433,-0.1823687626193271,0.02220361821878125,-0.06492479158341835,-0.12799461335170137,-0.12807974194874028,-0.16500296012453308,-0.05293759587347879,-0.0054596793775110175,-0.07603749075468591,-0.05964779504309403,0.025310367682704227,0.056701541340161477,0.09878176896022306,0.02066067763260504,0.03967950321917657,0.013350472650890621,-0.005885518451112404,0.0458499648098587,-0.13015871904937804,0.017154468338317574,0.029112338943503513
2005-09-30,0.03097004791518354,-0.005759695042239721,0.005517585343412845,-0.03782714612723026,-0.016512003274723797,-0.026916909016750146,-0.030468554493313427,-0.04644390168902357,0.002917811003581572,-0.007000569726741901,-0.021714849656347845,-0.007065763825053528,0.05488113938284889,0.04493804951190006,-0.006407299566519087,0.017969556450279756,-0.0019889075968581027,0.0037273320664524823,-0.0013279635372603904,-0.009400822682614107,-0.027155286427350322,-0.010658270838289297,0.027256629457280246,-0.019651509717144133,0.010488007367621566,-0.02662483569381846,0.005727958646004616,-0.023605494589269305,0.040829877006745674,-0.04808745154280336,0.04385122827953436,0.03845316283350708,-0.011949602613751109,0.072158511529959,-0.04614651161706318,0.0011398223486700498,-0.017616869382949818,0.02709726056923012,0.004422657899802451,-0.031331673020097206,0.0017316568217965456,-0.00793585524750573,0.023287641371200984,0.019570170246326013,-0.0023465464956926585,0.006716535339739593,0.012172484719943366,0.04516569353382838,-0.008638686182290134,0.0005903572143410862,-0.05436451566832312,0.021066199615982883,0.005310162634863835,0.029987301424213686,0.03068515924942239,0.050415054666749115,-0.000986612507294149,-0.028689806885999425,-0.02806323760308227,-0.011057017556776128,-0.030966034016178923,-0.01780047746337088,0.03419107843719549,-0.009252533018138998,0.00019219716663632092,-0.01786133805378809,-0.04962439520090833,-0.02475911465121572,0.0002317163996554683,-0.015589290670349087,0.021891421698337687,-0.040020228776946554,-0.05379615753500955,0.03395136047698988,0.018435469663853454,0.023358675372502025,0.02661133275328753,0.0321166092474785,-0.02361722031030522,-0.013431360553997962,-0.010319772319040688,-0.030258048836458884,0.016302668747844695,0.05184886971879843,0.022693357421320393,0.0034718704295335634,0.025694452084554564,-0.02485841743741035,0.01934302947907307,-0.004465289321911259,-0.02484190717068957,-0.020795208843773283,-0.06669215943696494,0.008041559494255446,-0.0014886559316424908,0.015356468885850738,0.0007650512718236913,-0.01895813059910678,0.02123666089922971,-0.02455655218673114,-0.032842721652657114,-0.006580711775075465,-0.01857046537786844,-0.0030154398193923404,0.005455909811859505,-0.011251096720890863,-0.005714787206311467,0.03090699867991753,0.015350117594466917,0.025453159294391514,0.020486708312776214,0.04128693751716672,-0.0008004742047327262,0.006224491422653355,0.027953999973588495,0.014643975788613761,-0.0017086184342859356,-0.006246034196461414
