date,MKT,SIZE,INV,ROE
12/31/2003,0.060692017,-0.183290411,-0.06622973,0.141007469
1/31/2004,0.060797985,0.077674209,-0.015297796,-0.053793177
2/29/2004,0.0597766,0.088514947,0.051951352,-0.069529805
3/31/2004,0.041454419,0.014777142,0.009430219,0.01133356
4/30/2004,-0.093879075,-0.030366174,-0.042531833,0.040609192
5/31/2004,-0.02163341,0.034566465,0.042729774,-0.023618486
6/30/2004,-0.103004162,-0.050950322,-0.015769093,0.081842957
7/31/2004,-0.007837548,-0.042436796,-0.033987567,0.020026057
8/31/2004,-0.035098575,-0.029194407,-0.011744689,0.058171119
9/30/2004,0.047845474,-0.010851417,-0.043192822,0.052451599
10/31/2004,-0.058096039,-0.029256268,-0.043227818,0.05228557
11/30/2004,0.014013653,0.089419043,0.038503445,-0.090338657
12/31/2004,-0.060321582,-0.053379053,-0.054323307,0.107603521
1/31/2005,-0.060567466,-0.000136517,-0.05340514,0.0276209
2/28/2005,0.094756801,0.023962139,-0.000126078,-0.012734347
3/31/2005,-0.096395577,-0.072880182,-0.084985242,0.096779887
4/30/2005,-0.025647569,-0.128685099,-0.049911233,0.106258647
5/31/2005,-0.082619169,0.112498704,0.093449263,-0.124342592
6/30/2005,0.016953033,-0.037386747,-0.013996851,0.058603882
7/31/2005,0.001179114,-0.141264718,-0.059566256,0.152029356
8/31/2005,0.09001777,0.147146478,0.087937197,-0.105284008
9/30/2005,-0.003449429,0.048388862,-0.017445049,0.006378299
10/31/2005,-0.056973945,-0.016848693,-0.010332222,0.014324675
11/30/2005,0.006185039,0.049099529,0.031279287,-0.052370548
12/31/2005,0.06042047,-0.09227376,-0.0450919,0.056666903
1/31/2006,0.085267492,-0.046990969,-0.03066874,0.028564721
2/28/2006,0.038434764,-0.001578134,0.035109009,-0.034011507
3/31/2006,0.008327594,0.002607066,-0.032097071,0.046447353
4/30/2006,0.109541734,-0.141481626,-0.088301515,0.09056688
5/31/2006,0.162140707,0.200436084,0.095842001,-0.152509411
6/30/2006,0.027388782,0.060292283,-0.000432461,0.025377884
7/31/2006,-0.067738404,0.064514124,0.003329525,-0.030697253
8/31/2006,0.038181905,-0.002175717,0.019194299,-0.0057408
9/30/2006,0.04536792,0.010175236,0.017949098,-0.046671363
10/31/2006,0.024049972,-0.054728009,-0.047788903,0.048565043
11/30/2006,0.141510506,-0.213349805,-0.159919127,0.198708897
12/31/2006,0.133857328,-0.16563986,-0.113914014,0.132935588
1/31/2007,0.179358208,0.096525016,0.062483916,-0.044252633
2/28/2007,0.081899678,0.214277028,0.142346195,-0.273483309
3/31/2007,0.108780722,0.176627259,0.032465778,-0.11008594
4/30/2007,0.279944763,0.101748026,0.044121095,-0.090531719
5/31/2007,0.120501658,-0.062043715,-0.110205853,0.05011955
6/30/2007,-0.090081351,-0.181262263,-0.129013913,0.215361548
7/31/2007,0.19261257,0.159922853,-0.01511121,-0.132070528
8/31/2007,0.145839531,-0.028624685,-0.052383772,-0.062129041
9/30/2007,0.066321171,-0.055340992,0.033158574,0.056572909
10/31/2007,0.018886043,-0.210182418,-0.161515425,0.117955818
11/30/2007,-0.144842928,0.180914264,0.123921715,-0.063818995
