date,MKT,SMB,HML,RMW,CMA
1/31/1995,-0.129806941,0.001445706,0.059888398,0.000787967,-0.036327482
2/28/1995,-0.021904831,0.011970097,0.03673673,-0.04559198,-0.017638116
3/31/1995,0.151192512,-0.032452671,-0.222268013,0.084092462,0.019448852
4/30/1995,-0.104933195,-0.009784816,0.052825871,-0.006139792,-0.000979499
5/31/1995,0.177218415,0.054888901,-0.113163551,-0.087031521,-0.092434265
6/30/1995,-0.095950771,0.064187929,0.085602564,0.007361856,0.047840205
7/31/1995,0.06878862,0.004038725,0.089618798,-0.08242155,0.048174258
8/31/1995,0.041522134,-0.028000156,0.131353476,-0.030400936,0.059688624
9/30/1995,-0.006039029,-0.01592711,0.064770929,-0.001447471,0.056900511
10/31/1995,0.001172696,0.013278542,0.026577396,-0.018832629,0.100157412
11/30/1995,-0.082875453,0.045357827,0.029714663,-0.020365672,-0.055172083
12/31/1995,-0.121250007,0.010231365,0.029088934,0.009082724,-0.01538899
1/31/1996,-0.043926551,0.000724684,0.051052058,0.037062384,0.047621531
2/29/1996,0.029247216,-0.011015059,-0.005751912,-0.002329362,-0.047834183
3/31/1996,-0.001322751,-0.018027368,-0.012177239,-0.004491228,-0.013379742
4/30/1996,0.291252106,0.187955404,0.22955513,0.192104538,-0.055930532
5/31/1996,-0.031880311,-0.087201742,0.117586215,0.220543221,-0.031747929
6/30/1996,0.250621573,-0.251279731,-0.104254241,0.298133252,-0.131608105
7/31/1996,0.114563131,0.220939418,0.394412411,-0.055134628,-0.03067232
8/31/1996,-0.006701237,-0.06433285,0.035206145,0.002013428,-0.06068681
9/30/1996,0.056005597,-0.035062493,0.003062486,-0.066978306,-0.065564458
10/31/1996,0.214566884,0.19842394,0.289680081,-0.328178063,0.550144015
11/30/1996,0.064232502,0.071118066,0.024658741,-0.07292995,0.034843455
12/31/1996,-0.181986845,-0.030363966,-0.028552959,0.173321089,-0.22519058
1/31/1997,0.073539085,0.04371766,0.022822082,-0.100080157,0.008384324
2/28/1997,0.067180204,0.112204733,0.099012383,-0.076158495,0.047009194
3/31/1997,0.183888732,0.080569971,-0.108649725,0.075943161,-0.103124386
4/30/1997,0.104882743,-0.041846393,-0.229041539,0.196118584,-0.203379174
5/31/1997,-0.076397805,-0.049030958,-0.046374944,0.086739113,-0.055139313
6/30/1997,-0.003479283,-0.03767089,-0.173073904,0.092976242,-0.11100815
7/31/1997,-0.070755531,0.092568651,0.118937224,-0.062455156,0.03253303
8/31/1997,0.004974733,0.100675923,0.242500558,-0.22695404,0.239056195
9/30/1997,-0.117167403,0.034736304,-0.034978307,0.039890746,-0.008368822
10/31/1997,0.119134406,-0.02221137,-0.103750282,0.063589838,-0.0497079
11/30/1997,-0.046943836,0.042041657,-0.012147627,-0.006599546,-0.017196467
12/31/1997,0.02287362,0.091483108,-0.072769161,-0.013644674,-0.075046316
1/31/1998,0.021571292,0.064460753,-0.037860066,0.022965195,0.01528064
2/28/1998,-0.016379709,0.077204029,0.100271506,-0.059461285,0.061785819
3/31/1998,0.023875035,0.094798177,-0.010702732,-0.058451336,0.078200612
4/30/1998,0.080648174,0.104011611,-0.02110382,-0.056231082,0.011669681
5/31/1998,0.061962118,0.155457711,0.072262291,-0.183142455,0.158171333
6/30/1998,-0.068324758,0.024832309,-0.008290165,0.015268741,-0.066972922
7/31/1998,-0.019289909,0.063967522,0.034080123,-0.024749134,0.000801649
8/31/1998,-0.128987804,0.063501749,-0.070071183,-0.020202954,0.039189316
9/30/1998,0.080238962,0.153437542,0.055567965,-0.108481697,0.080591982
10/31/1998,-0.020152528,0.087428818,-0.070086996,0.03036632,-0.018987469
11/30/1998,0.013492432,-0.022193437,-0.007197298,0.052578023,-0.040764178
12/31/1998,-0.084932541,-0.030968495,0.033534903,0.035320472,-0.034474178
1/31/1999,-0.011284374,0.02884569,-0.002921247,0.029921033,-0.038326916
2/28/1999,-0.042756925,0.010542048,-0.026748014,-0.001988209,-0.009569067
3/31/1999,0.06763882,0.128766293,0.082077134,-0.148285442,0.111164321
4/30/1999,-0.03635493,-0.02595753,0.041479528,-0.001323331,-0.041619788
5/31/1999,0.12435483,-0.105009476,-0.100650914,0.09854416,-0.031609666
6/30/1999,0.339417257,0.002537387,-0.037742104,0.093588546,-0.098668982
7/31/1999,-0.06485865,0.035843897,0.008302224,-0.030603993,0.022088609
8/31/1999,0.013076568,0.09184033,0.085815076,-0.133582103,0.071104182
9/30/1999,-0.034464534,0.038659077,0.00068627,0.027644008,-0.025104651
